Term,Canada
Canada appeared in 36 documents,Total Words (m),Frequency (f)
Article #1,80,1
Article #2,111,1
Article #3,83,1
Article #4,99,1
Article #5,98,1
Article #6,98,1
Article #7,90,3
Article #8,89,4
Article #9,82,2
Article #10,108,1
Article #11,102,1
Article #12,95,2
Article #13,99,2
Article #14,101,1
Article #15,94,2
Article #16,96,1
Article #17,97,1
Article #18,101,2
Article #19,93,2
Article #20,93,2
Article #21,94,1
Article #22,73,3
Article #23,83,2
Article #24,79,1
Article #25,95,2
Article #26,91,4
Article #27,96,1
Article #28,94,1
Article #29,96,1
Article #30,86,3
Article #31,92,1
Article #32,96,2
Article #33,95,4
Article #34,76,1
Article #35,84,2
Article #36,89,1
